id,node_ids,road_name
80,249786921 267075202 561182857 3745742014 267075203 6643020576,Akbar Road
81,6643020576 314506004 314506003 267075198,Akbar Road
82,267075194 6552255261 883993802 10255194188 10255194186 13269928977 13275103504 6153253286 13086111669 6702715273 12097013220,Copernicus Marg
83,3217361693 2984565047 6552255283 249786904 10255194195 6153253300 6153253299 6122832364 267075194,Copernicus Marg
84,1870091896 249786915 9179109755 267075229 6345186427,Sher Shah Road
85,267075224 267075225 6345186426 267075226 249786916,Sher Shah Road
86,6688997575 6688997582 6689054528 6688997584 910450748 9859979928 11898263793 910451401 1870091900,Man Singh Road
87,1870091900 910451281 910450909 6436170736 6484735189 6689054506 249786886 6689054508 6689054509,Man Singh Road
88,5977448440 6643524960,rotary no 4
89,6643524960 6702699424 621248464 6702699426,rotary no 4
90,6702699426 267196271 621248465,rotary no 4
91,621248465 6689054507 267075235 6689054509,rotary no 4
92,6689054509 621248466 249786884 621248467,rotary no 4
93,621248467 267075231 6702699482,rotary no 4
94,6702699482 6702699398,rotary no 4
95,6702699398 5977448437 6702699397 621248468,rotary no 4
96,621248468 5977448438 6702715200,rotary no 4
97,6702715200 267075232 5977448439 267075233,rotary no 4
98,267075233 621248469 6689054571 267075234 621248470 5977448440,rotary no 4
99,267086487 6912102237 6881763038 267086488 267086489 9840973297 267086490,
100,267086666 9857147691 9857445851 9857445850 267086667 9857445852 9857445853 4155267886 9857445857 9857445856 267086668 9857445854 9857445855 267086669 9857445848 9857445849 9857652362 9857652363 267086670 4155268898 4155146636 267086671 267086672 9857445845 267086673 9857445847 9857445846 9857257251 4155028011 9857445844 9857445843 267086182,Church Mall Road
101,621248536 5340271720 12780247330 1633262436,Teen Murti Marg
102,621248512 6655403358 6655403385 6655403357 267193180 6655403387 6655403355 9852527171 267193179 6645848778 267193178 6655403377 10271129622 6655403353 13253573808 6655403352 13253573827 6655403354 267193177 6655403351 13253573822 267193176 6655403350 267193175 6655403349 7222231181 947950267 6655403315,Kautilya Marg
103,6655403315 6655403312 6655403332,Kautilya Marg
104,6655403332 947950205 267193173 6655403336 267193172 6655403334 6655403335 621248522,Kautilya Marg
105,6655403315 6655403314 6655403313 267193174 563661941 3644533743,Niti Marg
106,6655403189 6655403188 6655403181 11808669627 6655403180 6655403179 6655403177 6655403178 6655403187 563659620 6655403175 6655403176 621248471,Panchsheel Marg
107,6655403142 6655403141 6655403140 12144692245 11001404247 563659593 6655403143 12000416976 563661919 10302340966 12000416978 6655403154 267193196 267193197 5134531453 267193198 267193199 267193200 5134531449 267193160,Nyaya Marg
108,910549669 9861910940 267193231 9874614516 9874614515 9874717717 13161810460 267193230 12237754715,San Martin Marg
109,1765269481 309862764 309862763 11984980568 1765269517 10248637964 910549670,Shanti Path
110,309859088 267193309 6657105372 12000402767 6657105373 6961442931 6657105374 6657105375 6657105376 13300781266 11808826356 1870091833,Vinay Marg
111,1870091833 947950706 11808826239 267193310 267193311 267193312 12880309506 947950223 6657105377 6657105378 6657116893 6657105379 309859421,Vinay Marg
112,309858909 6961442945 910451024 6961442934 910450773 12000402764 6437397301 12250318830,Vinay Marg
113,309858218 910450788 10254960473 910451158,Brigadier Hoshiar Singh Marg
114,267194407 2000646528,Road 224
115,2000646528 9882542827,Road 224
116,9882542827 7208907068 7101160468 11572597828,Road 224
117,11572597828 2000646368 422261322,Road 224
118,422261322 422261257,Road 224
119,422261257 12109885287 2000646338 2000646268,Road 224
120,427807412 427807410,Road 201
121,427807410 7211816781 10292536788 10292536793 427807409,Road 201
122,427807409 427807408,Road 201
123,427807408 9898945576 9898945572 2000516464,Road 201
124,2000516464 427807406,Road 201
125,427807406 427807405,Road 201
126,427807405 2000516610,Road 201
127,2000516610 2000516789,Road 201
128,267194448 12229818636 427807885,Azad Hind Fauj Marg
129,427807885 11047585116 724830371 4229592005 1191281913 4229592022 1765244276 9044613509,Azad Hind Fauj Marg
130,9044613509 472500000 4229518915 4230047400 4230047412 4230047429 4230047459 4230047478 9044623423 4230047514 4230047578 1765244257,Azad Hind Fauj Marg
131,723739887 267194669 4230047602 4230047599 4230047567 4230047564 4230047524 4230047502 1802087479 1191281904,हरिओम गहलोत मार्ग
132,1191281904 11942349301 11484467491 4230129156 12229878599 4230129123 4230129116 4230129114 6544088381 11254917175 4229518904 11254917174 11254917171 11254917169 4229500693 4229500582 9911141605 9910920467 9910920465 267194670,हरिओम गहलोत मार्ग
133,6702699398 267196272 6702699423 6351660223 6702699399 12246248280 6702699400 10255017506 4779999166 6702699401 10255038975 6702699402 10255038959 6702699403 10255043833 6702699404 12246307140 1762989534 249786861 6702699406 6702699407 6702699408,Ashoka Road
134,249786848 1762989522 6636468150 10255172732 10255172745 10255172729 3749161033 3749161037 12247935601 267251014 6539240963 3749161046 6643539678 6643539680 6643539682 5792664581,Janpath
135,5792664581 5809063024 5434484041,Janpath
136,6666328386 6666317467 6666317463 6666317462 10255012751 267196314 10255012753 7428442891 1762989501 6666317456 6666317457 6666317458,Janpath
137,267196304 5483954466 621248480 5483954465 267196290,Rotary Number 45
138,267196290 12888092189 267196291,Rotary Number 45
139,267196304 267196289 11823890660 6385537595 6742341880 6470072753 6742341881 6385537602 2729066836 6742341896 6742341897,Red Cross Road
140,267196305 3749161016 267253204 3749161020 2431986222 12149488813 10255011765 10255011747 6742341855,Raisina Road
141,6702715208 6702715192 6702715193 6702715191 6702715189 6702715188 10255163585 6702715195 6702715187 10255190658 6702715186 6702715185 6702715196 6702699484 6702699483 267075233,Jaswant Singh Road
142,6702715200 6702715199 6702715198 6702715197 6702715201 267196332 6702715204 6702715203 6702715202 10255163586 10255163582 6702715190 6702715194 267196333 6702715216,Jaswant Singh Road
143,249786895 267196334 6702715258 6702715245 6702715246 6702715247 6702715248 6702715249,Jaswant Singh Road
144,249786893 1309626400,Rotary Number 5
145,1309626400 267197826 267197825 6702715261,Rotary Number 5
146,6702715261 267197823 6702715222 267197815,Rotary Number 5
147,267197815 1309626393 10255194169 267197814 1309626391,Rotary Number 5
148,1309626391 267197813 249786897 1309626385,Rotary Number 5
149,1309626385 249786896 1309626389 6702715223 249786895,Rotary Number 5
150,249786895 267196335 249786894,Rotary Number 5
151,249786894 6702715224 6702715225 1309626396,Rotary Number 5
152,1309626396 249786893,Rotary Number 5
153,5483954472 5484083825 5484083824 12105998307 3749161008,Rafi Ahmed Kidwai Marg
154,12097013220 6702715272 6702715271 6702715270 6702715269 7245842690 6702715268 6702715267 6702715266 267197827 267197815,Shrimant Madhavrao Scindia Marg
155,6702715261 6702715260 6702715259 6702715262 10255238356 6702715263 10255238366 6702715281 6702715264 6702715265 6702715280 6702715279 6702715278 6702715277 6702715276 6702715274 6702715275 267197828,Shrimant Madhavrao Scindia Marg
156,3746076237 3746076239 267197838 7312809263 3746076242 7312809245 7312809249,Humayun Road
157,267197834 267197836 12142140718 7312809265 3746076241,Humayun Road
158,9860259236 267197955 7612444355 9880276175 7612444356 9880276176 267197960 7612444360 7612444357 9860259219 9880276177 7612444358 7612444362 9860150835 7612444359 9880276179 9880276180 7612444346,Humayun Road
159,6174545386 249791380 6174545390 6174545396 6174545395 6717668055 1275190828 6717668063 267197980 6717668058 1275190687 6717668057 6169030298 6717668056 6717668048 267197959 249791379 6649124990 6717668044 6717668042 249791378 249791377,Pandara Road
160,267197867 267197868,Rotary 13
161,267197868 267197869,Rotary 13
162,267197869 1800585960 267197870,Rotary 13
163,6689054569 6689054568 6689054567 267197873 6689054565 3745722871 12753584745 12753584723 12753584724 943830590 6689054554 3745713128 6689054551 2026429741 3745713130 2026429733 6689054546 6689054545 943830813 12753584753 6689054540 6689054535 267196322 6689054534 267196323,Man Singh Road
164,267197887 6666318667 267197900 6666318665 6666318664 6666318663 11816192467 6666318660 6666318661 6666318662,Janpath
165,5809063053 7782913600 6666318676 6666318675 6666318674 11816192466 6666318673 6666318672 6666318671 6666318670 6666318669 6666318666 6666318668 7086574340 267197888,Janpath
166,621248448 6657547777 6657547776 6657547775 267196324 3745742010 7223061599 7223061596 7223061595 7223061589 943831487 6657547773 11900641292 267197892 6657547770 6657547771 6657547772 267197893,Akbar Road
167,6681148297 6681148296 6681148298 11900641295 6681148292 6681148291 6681148290 6681148289 6681148287 6681148286 12753584710 6681142083 6681142082 6681142078 6681142081 1800585968 267197870,Motilal Nehru Marg
