id,lat,lon,name
438049081,28.6219027,77.2196899,Bharat Sanchar Bhuvan - BSNL HQ
438049083,28.5663466,77.2340571,Flavours Restaurant
441177831,28.5944558,77.1664506,Dhaula Kuan Flyover
442110898,28.5591555,77.2696155,Ishwar Nagar
442110900,28.5614243,77.2697503,Hotel Surya
449453229,28.522664,77.1655706,Nirula's
458640708,28.6482994,77.2402019,Brijmohan Chowk
459771176,28.656726,77.30198,"Cinépolis, CRM, Shahdara"
459772437,28.6512798,77.297411,"Gauri Shanker Mandir, AGCR"
464964093,28.5365216,77.2845972,Sarita Vihar
477905148,28.5158272,77.0453164,Masti ki Pathshala (Teach India)
485215790,28.6423723,77.1093533,Subash Nagar Crossing
495944525,28.5499722,77.250948,Satyam Cineplex
495944526,28.5500151,77.2511173,McDonald's
495944527,28.5500689,77.2510928,Subway
495944542,28.5502602,77.2519691,Barclays
496457099,28.5848782,77.2602207,Indraprastha Gas Limited
496457116,28.6175988,77.2497911,Indian Oil
496457118,28.6186155,77.2493074,Indraprastha Gas Limited
496457123,28.6201278,77.2488411,Indraprastha Depot
496457133,28.6403435,77.2446605,Samata Sthal
496457144,28.6577055,77.2449058,Vijay Ghat
496489169,28.6818859,77.2297995,Indraprastha Gas Limited
496489184,28.7314747,77.1839327,Indian Oil
496712226,28.7561213,77.147976,IBP Limited
496712227,28.7596436,77.1516935,Swaroop Nagar
496712234,28.7816996,77.1410657,Budh Pur
496712243,28.7943045,77.1391309,Indian Oil
496712244,28.7962535,77.1390084,Bharat Petroleum
496712249,28.831095,77.1304498,Bharat Pteroleum
496712256,28.8558765,77.1257097,Hindustan Petroleum
496712260,28.860157,77.1244108,Narela Border
496728650,28.7950429,77.1444274,Suryadev
496730218,28.7786707,77.1428523,Pyare Lal Ashok Leyland
496730220,28.7641611,77.1465098,Maruti Service Station
498727740,28.5846713,77.3077905,"Sector 14, NOIDA"
498727742,28.5855272,77.3092979,Indian Oil
541347299,28.5323123,77.2179689,Khirki
541347410,28.5310379,77.217265,KHOJ International Artists' Association
544371043,28.5302569,77.2183932,Khirki Village
544372855,28.5343792,77.2302126,Savitri Nagar
544374389,28.522712,77.2230873,Pushp Vihar
544510362,28.5342313,77.2145639,Aggarwal Sweets
544510363,28.5361588,77.2111537,Bhansalsons
544510365,28.5362363,77.2118694,Ashok Namkeen & Sweets
544510366,28.5349439,77.2127469,South Indian Fast Food
544510367,28.5355117,77.2108356,Shree Ram Chat
544510413,28.5323485,77.216537,Sai Villa Apt
544510422,28.534559,77.2145726,Vihan Medico
544510423,28.5323164,77.2153932,Jai Baba Ki
544510424,28.5321445,77.215931,Sree Durga Chemist
544510425,28.5324543,77.2174638,Om Sri Sai Snacks
544510428,28.5308092,77.2179083,Raju Dhaba
549750152,28.5786023,77.1760284,Moti Bagh Flyover
549750153,28.5695339,77.1896436,Bikaji Kama Place Flyover
549750157,28.5724639,77.2583378,Ashram Flyover
549750159,28.5656703,77.2498944,Lajpat Nagar Flyover
554257755,28.4989706,77.1609098,Sultanpur
554257763,28.5487786,77.1207949,Delhi Aerocity
554257781,28.5067554,77.1749361,Chhatarpur
